序号,文件名,主单号,子单号,单号(Shipment No),页数,备注
1,J000203634965.pdf,J000203634965,(00)340339886180017788,598625809,1,
2,J000203636903.pdf,J000203636903,(00)340339886180019652,598627523,1,
3,J000203639327.pdf,J000203639327,(00)340339886180023079/(00)340339886180023086,598628641,2,多页包裹
4,J000203641111.pdf,J000203641111,(00)340339886180016880,598625213,1,
5,J000203643563.pdf,J000203643563,(00)340339886180024106/(00)340339886180024113/(00)340339886180024120,598629231,3,多页包裹
6,J000203644397.pdf,J000203644397,(00)340339886180018457,598626455,1,
