序号,文件名,主单号,子单号,单号(Shipment No),页数,备注
1,J000203613885.pdf,J000203613885,(00)340339886180271807,598754378,1,
2,J000203632272.pdf,J000203632272,(00)340339886180272552,598754616,1,
3,J000203643532.pdf,J000203643532,(00)340339886180272682,598754685,1,
4,J000203643614.pdf,J000203643614,(00)340339886180271746/(00)340339886180271753,598754319,2,多页包裹
5,J000203646414.pdf,J000203646414,(00)340339886180273573,598755051,1,
6,J000203647355.pdf,J000203647355,(00)340339886180273122,598754911,1,
